"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2009","Belgium","Government sector","Million purchasing power standards (PPS) at 2005 prices","569.274",""
"2009","Belgium","Higher education sector","Million euro","1,642.796",""
"2009","Belgium","Higher education sector","Euro per inhabitant","152.8",""
"2009","Belgium","Higher education sector","Million units of national currency","1,642.796",""
"2009","Belgium","Higher education sector","Million purchasing power standards (PPS)","1,469.932",""
"2009","Belgium","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1,466.123",""
"2009","Belgium","Private non-profit sector","Million euro","69.154",""
"2009","Belgium","Private non-profit sector","Euro per inhabitant","6.4",""
"2009","Belgium","Private non-profit sector","Million units of national currency","69.154",""
"2009","Belgium","Private non-profit sector","Million purchasing power standards (PPS)","61.877",""
"2009","Belgium","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","61.717",""
"2009","Bulgaria","All sectors","Million euro","184.61",""
"2009","Bulgaria","All sectors","Euro per inhabitant","24.7",""
"2009","Bulgaria","All sectors","Million units of national currency","361.06",""
"2009","Bulgaria","All sectors","Million purchasing power standards (PPS)","396.203",""
"2009","Bulgaria","All sectors","Million purchasing power standards (PPS) at 2005 prices","385.581",""
"2009","Bulgaria","Business enterprise sector","Million euro","55.309",""
"2009","Bulgaria","Business enterprise sector","Euro per inhabitant","7.4",""
"2009","Bulgaria","Business enterprise sector","Million units of national currency","108.174",""
"2009","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS)","118.703",""
"2009","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","115.521",""
"2009","Bulgaria","Government sector","Million euro","101.986",""
"2009","Bulgaria","Government sector","Euro per inhabitant","13.7",""
"2009","Bulgaria","Government sector","Million units of national currency","199.464",""
"2009","Bulgaria","Government sector","Million purchasing power standards (PPS)","218.879",""
"2009","Bulgaria","Government sector","Million purchasing power standards (PPS) at 2005 prices","213.011",""
"2009","Bulgaria","Higher education sector","Million euro","25.911",""
"2009","Bulgaria","Higher education sector","Euro per inhabitant","3.5",""
"2009","Bulgaria","Higher education sector","Million units of national currency","50.676",""
"2009","Bulgaria","Higher education sector","Million purchasing power standards (PPS)","55.609",""
"2009","Bulgaria","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","54.118",""
"2009","Bulgaria","Private non-profit sector","Million euro","1.404",""
"2009","Bulgaria","Private non-profit sector","Euro per inhabitant","0.2",""
"2009","Bulgaria","Private non-profit sector","Million units of national currency","2.746",""
"2009","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS)","3.013",""
"2009","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2.933",""
"2009","Czechia","All sectors","Million euro","1,924.518",""
"2009","Czechia","All sectors","Euro per inhabitant","184.6",""
"2009","Czechia","All sectors","Million units of national currency","50,874.619",""
"2009","Czechia","All sectors","Million purchasing power standards (PPS)","2,837.529",""
"2009","Czechia","All sectors","Million purchasing power standards (PPS) at 2005 prices","2,720.808",""
"2009","Czechia","Business enterprise sector","Million euro","1,063.951",""
"2009","Czechia","Business enterprise sector","Euro per inhabitant","102",""
"2009","Czechia","Business enterprise sector","Million units of national currency","28,125.531",""
"2009","Czechia","Business enterprise sector","Million purchasing power standards (PPS)","1,568.7",""
"2009","Czechia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1,504.172",""
"2009","Czechia","Government sector","Million euro","465.376",""
"2009","Czechia","Government sector","Euro per inhabitant","44.6",""
"2009","Czechia","Government sector","Million units of national currency","12,302.211",""
"2009","Czechia","Government sector","Million purchasing power standards (PPS)","686.155",""
"2009","Czechia","Government sector","Million purchasing power standards (PPS) at 2005 prices","657.93",""
"2009","Czechia","Higher education sector","Million euro","384.832",""
"2009","Czechia","Higher education sector","Euro per inhabitant","36.9",""
"2009","Czechia","Higher education sector","Million units of national currency","10,173.039",""
"2009","Czechia","Higher education sector","Million purchasing power standards (PPS)","567.401",""
"2009","Czechia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","544.061",""
"2009","Czechia","Private non-profit sector","Million euro","10.359",""
"2009","Czechia","Private non-profit sector","Euro per inhabitant","1",""
"2009","Czechia","Private non-profit sector","Million units of national currency","273.838",""
"2009","Czechia","Private non-profit sector","Million purchasing power standards (PPS)","15.273",""
"2009","Czechia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","14.645",""
"2009","Denmark","All sectors","Million euro","7,065.873",""
"2009","Denmark","All sectors","Euro per inhabitant","1,282",""
"2009","Denmark","All sectors","Million units of national currency","52,613.9",""
"2009","Denmark","All sectors","Million purchasing power standards (PPS)","5,176.801",""
"2009","Denmark","All sectors","Million purchasing power standards (PPS) at 2005 prices","4,767.766",""
"2009","Denmark","Business enterprise sector","Million euro","4,930.609",""
"2009","Denmark","Business enterprise sector","Euro per inhabitant","894.6",""
"2009","Denmark","Business enterprise sector","Million units of national currency","36,714.3",""
"2009","Denmark","Business enterprise sector","Million purchasing power standards (PPS)","3,612.403",""
"2009","Denmark","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","3,326.976",""
"2009","Denmark","Government sector","Million euro","146.269",""
"2009","Denmark","Government sector","Euro per inhabitant","26.5",""
"2009","Denmark","Government sector","Million units of national currency","1,089.148",""
"2009","Denmark","Government sector","Million purchasing power standards (PPS)","107.164",""
"2009","Denmark","Government sector","Million purchasing power standards (PPS) at 2005 prices","98.696",""
"2009","Denmark","Higher education sector","Million euro","1,958.972",""
"2009","Denmark","Higher education sector","Euro per inhabitant","355.4",""
"2009","Denmark","Higher education sector","Million units of national currency","14,586.9",""
"2009","Denmark","Higher education sector","Million purchasing power standards (PPS)","1,435.238",""
"2009","Denmark","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1,321.836",""
"2009","Denmark","Private non-profit sector","Million euro","29.627",""
"2009","Denmark","Private non-profit sector","Euro per inhabitant","5.4",""
"2009","Denmark","Private non-profit sector","Million units of national currency","220.606",""
"2009","Denmark","Private non-profit sector","Million purchasing power standards (PPS)","21.706",""
"2009","Denmark","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","19.991",""
"2009","Germany (until 1990 former territory of the FRG)","All sectors","Million euro","67,078.121",""
"2009","Germany (until 1990 former territory of the FRG)","All sectors","Euro per inhabitant","818",""
"2009","Germany (until 1990 former territory of the FRG)","All sectors","Million units of national currency","67,078.121",""
"2009","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS)","62,907.363",""
"2009","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS) at 2005 prices","62,217.707",""
"2009","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million euro","45,275",""
"2009","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Euro per inhabitant","552.1",""
"2009","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million units of national currency","45,275",""
"2009","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS)","42,459.908",""
"2009","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","41,994.419",""
"2009","Germany (until 1990 former territory of the FRG)","Government sector","Million euro","9,931.73","d"
"2009","Germany (until 1990 former territory of the FRG)","Government sector","Euro per inhabitant","121.1","d"
"2009","Germany (until 1990 former territory of the FRG)","Government sector","Million units of national currency","9,931.73","d"
"2009","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS)","9,314.199","d"
"2009","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS) at 2005 prices","9,212.087","d"
"2009","Germany (until 1990 former territory of the FRG)","Higher education sector","Million euro","11,871.391",""
"2009","Germany (until 1990 former territory of the FRG)","Higher education sector","Euro per inhabitant","144.8",""
"2009","Germany (until 1990 former territory of the FRG)","Higher education sector","Million units of national currency","11,871.391",""
"2009","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS)","11,133.256",""
"2009","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","11,011.202",""
"2009","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million euro",":","d"
"2009","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Euro per inhabitant",":","d"
"2009","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million units of national currency",":","d"
"2009","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS)",":","d"
"2009","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":","d"
"2009","Estonia","All sectors","Million euro","197.393",""
"2009","Estonia","All sectors","Euro per inhabitant","147.8",""
"2009","Estonia","All sectors","Million units of national currency","197.393",""
"2009","Estonia","All sectors","Million purchasing power standards (PPS)","290.37",""
"2009","Estonia","All sectors","Million purchasing power standards (PPS) at 2005 prices","254.857",""
"2009","Estonia","Business enterprise sector","Million euro","88.207",""
"2009","Estonia","Business enterprise sector","Euro per inhabitant","66",""
"2009","Estonia","Business enterprise sector","Million units of national currency","88.207",""
"2009","Estonia","Business enterprise sector","Million purchasing power standards (PPS)","129.754",""
"2009","Estonia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","113.885",""
"2009","Estonia","Government sector","Million euro","21.685",""
"2009","Estonia","Government sector","Euro per inhabitant","16.2",""
"2009","Estonia","Government sector","Million units of national currency","21.685",""
"2009","Estonia","Government sector","Million purchasing power standards (PPS)","31.899",""
"2009","Estonia","Government sector","Million purchasing power standards (PPS) at 2005 prices","27.998",""
"2009","Estonia","Higher education sector","Million euro","83.219",""
"2009","Estonia","Higher education sector","Euro per inhabitant","62.3",""
"2009","Estonia","Higher education sector","Million units of national currency","83.219",""
"2009","Estonia","Higher education sector","Million purchasing power standards (PPS)","122.418",""
"2009","Estonia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","107.446",""
"2009","Estonia","Private non-profit sector","Million euro","4.282",""
"2009","Estonia","Private non-profit sector","Euro per inhabitant","3.2",""
"2009","Estonia","Private non-profit sector","Million units of national currency","4.282",""
"2009","Estonia","Private non-profit sector","Million purchasing power standards (PPS)","6.299",""
"2009","Estonia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","5.529",""
"2009","Ireland","All sectors","Million euro","2,735.556","e"
"2009","Ireland","All sectors","Euro per inhabitant","605","e"
"2009","Ireland","All sectors","Million units of national currency","2,735.556","e"
"2009","Ireland","All sectors","Million purchasing power standards (PPS)","2,308.876","e"
"2009","Ireland","All sectors","Million purchasing power standards (PPS) at 2005 prices","2,307.136","e"
"2009","Ireland","Business enterprise sector","Million euro","1,868.456",""
"2009","Ireland","Business enterprise sector","Euro per inhabitant","413.3",""
"2009","Ireland","Business enterprise sector","Million units of national currency","1,868.456",""
"2009","Ireland","Business enterprise sector","Million purchasing power standards (PPS)","1,577.022",""
"2009","Ireland","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1,575.834",""
"2009","Ireland","Government sector","Million euro","138.1",""
"2009","Ireland","Government sector","Euro per inhabitant","30.5",""
"2009","Ireland","Government sector","Million units of national currency","138.1",""
"2009","Ireland","Government sector","Million purchasing power standards (PPS)","116.56",""
"2009","Ireland","Government sector","Million purchasing power standards (PPS) at 2005 prices","116.472",""
"2009","Ireland","Higher education sector","Million euro","729","e"
"2009","Ireland","Higher education sector","Euro per inhabitant","161.2","e"
"2009","Ireland","Higher education sector","Million units of national currency","729","e"
"2009","Ireland","Higher education sector","Million purchasing power standards (PPS)","615.294","e"
"2009","Ireland","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","614.83","e"
"2009","Ireland","Private non-profit sector","Million euro",":",""
"2009","Ireland","Private non-profit sector","Euro per inhabitant",":",""
"2009","Ireland","Private non-profit sector","Million units of national currency",":",""
"2009","Ireland","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2009","Ireland","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2009","Greece","All sectors","Million euro","1,485.94","e"
"2009","Greece","All sectors","Euro per inhabitant","133.9","e"
"2009","Greece","All sectors","Million units of national currency","1,485.94","e"
"2009","Greece","All sectors","Million purchasing power standards (PPS)","1,604.514","e"
"2009","Greece","All sectors","Million purchasing power standards (PPS) at 2005 prices","1,555.098","e"
"2009","Greece","Business enterprise sector","Million euro","537.83","e"
"2009","Greece","Business enterprise sector","Euro per inhabitant","48.5","e"
"2009","Greece","Business enterprise sector","Million units of national currency","537.83","e"
"2009","Greece","Business enterprise sector","Million purchasing power standards (PPS)","580.747","e"
"2009","Greece","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","562.861","e"
"2009","Greece","Government sector","Million euro","388.37","e"
"2009","Greece","Government sector","Euro per inhabitant","35","e"
"2009","Greece","Government sector","Million units of national currency","388.37","e"
"2009","Greece","Government sector","Million purchasing power standards (PPS)","419.361","e"
"2009","Greece","Government sector","Million purchasing power standards (PPS) at 2005 prices","406.445","e"
"2009","Greece","Higher education sector","Million euro","544.93","e"
"2009","Greece","Higher education sector","Euro per inhabitant","49.1","e"
"2009","Greece","Higher education sector","Million units of national currency","544.93","e"
"2009","Greece","Higher education sector","Million purchasing power standards (PPS)","588.414","e"
"2009","Greece","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","570.292","e"
"2009","Greece","Private non-profit sector","Million euro","14.81","e"
"2009","Greece","Private non-profit sector","Euro per inhabitant","1.3","e"
"2009","Greece","Private non-profit sector","Million units of national currency","14.81","e"
"2009","Greece","Private non-profit sector","Million purchasing power standards (PPS)","15.992","e"
"2009","Greece","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","15.499","e"
"2009","Spain","All sectors","Million euro","14,581.676",""
"2009","Spain","All sectors","Euro per inhabitant","315.4",""
"2009","Spain","All sectors","Million units of national currency","14,581.676",""
"2009","Spain","All sectors","Million purchasing power standards (PPS)","15,433.611",""
"2009","Spain","All sectors","Million purchasing power standards (PPS) at 2005 prices","14,627.576",""
"2009","Spain","Business enterprise sector","Million euro","7,567.596",""
"2009","Spain","Business enterprise sector","Euro per inhabitant","163.7",""
"2009","Spain","Business enterprise sector","Million units of national currency","7,567.596",""
"2009","Spain","Business enterprise sector","Million purchasing power standards (PPS)","8,009.733",""
"2009","Spain","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","7,591.418",""
"2009","Spain","Government sector","Million euro","2,926.733",""
"2009","Spain","Government sector","Euro per inhabitant","63.3",""
"2009","Spain","Government sector","Million units of national currency","2,926.733",""
"2009","Spain","Government sector","Million purchasing power standards (PPS)","3,097.728",""
"2009","Spain","Government sector","Million purchasing power standards (PPS) at 2005 prices","2,935.946",""
"2009","Spain","Higher education sector","Million euro","4,058.359",""
"2009","Spain","Higher education sector","Euro per inhabitant","87.8",""
"2009","Spain","Higher education sector","Million units of national currency","4,058.359",""
"2009","Spain","Higher education sector","Million purchasing power standards (PPS)","4,295.469",""
"2009","Spain","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","4,071.134",""
"2009","Spain","Private non-profit sector","Million euro","28.988",""
"2009","Spain","Private non-profit sector","Euro per inhabitant","0.6",""
"2009","Spain","Private non-profit sector","Million units of national currency","28.988",""
"2009","Spain","Private non-profit sector","Million purchasing power standards (PPS)","30.681",""
"2009","Spain","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","29.079",""
"2009","France","All sectors","Million euro","42,834.917",""
"2009","France","All sectors","Euro per inhabitant","665.7",""
"2009","France","All sectors","Million units of national currency","42,834.917",""
"2009","France","All sectors","Million purchasing power standards (PPS)","37,756.648",""
"2009","France","All sectors","Million purchasing power standards (PPS) at 2005 prices","37,019.115",""
"2009","France","Business enterprise sector","Million euro","26,425.933",""
"2009","France","Business enterprise sector","Euro per inhabitant","410.7",""
"2009","France","Business enterprise sector","Million units of national currency","26,425.933",""
"2009","France","Business enterprise sector","Million purchasing power standards (PPS)","23,293.021",""
"2009","France","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","22,838.019",""
"2009","France","Government sector","Million euro","6,985.851",""
"2009","France","Government sector","Euro per inhabitant","108.6",""
"2009","France","Government sector","Million units of national currency","6,985.851",""
"2009","France","Government sector","Million purchasing power standards (PPS)","6,157.647",""
"2009","France","Government sector","Million purchasing power standards (PPS) at 2005 prices","6,037.365",""
"2009","France","Higher education sector","Million euro","8,910.844",""
"2009","France","Higher education sector","Euro per inhabitant","138.5",""
"2009","France","Higher education sector","Million units of national currency","8,910.844",""
"2009","France","Higher education sector","Million purchasing power standards (PPS)","7,854.424",""
"2009","France","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","7,700.997",""
"2009","France","Private non-profit sector","Million euro","512.289",""
"2009","France","Private non-profit sector","Euro per inhabitant","8",""
"2009","France","Private non-profit sector","Million units of national currency","512.289",""
"2009","France","Private non-profit sector","Million purchasing power standards (PPS)","451.555",""
"2009","France","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","442.734",""
"2009","Croatia","All sectors","Million euro","380.677",""
"2009","Croatia","All sectors","Euro per inhabitant","88.3",""
"2009","Croatia","All sectors","Million units of national currency","2,794.17",""
"2009","Croatia","All sectors","Million purchasing power standards (PPS)","553.137",""
"2009","Croatia","All sectors","Million purchasing power standards (PPS) at 2005 prices","493.497",""
"2009","Croatia","Business enterprise sector","Million euro","153.861",""
"2009","Croatia","Business enterprise sector","Euro per inhabitant","35.7",""
"2009","Croatia","Business enterprise sector","Million units of national currency","1,129.337",""
"2009","Croatia","Business enterprise sector","Million purchasing power standards (PPS)","223.565",""
"2009","Croatia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","199.46",""
"2009","Croatia","Government sector","Million euro","103.38",""
"2009","Croatia","Government sector","Euro per inhabitant","24",""
"2009","Croatia","Government sector","Million units of national currency","758.811",""
"2009","Croatia","Government sector","Million purchasing power standards (PPS)","150.215",""
"2009","Croatia","Government sector","Million purchasing power standards (PPS) at 2005 prices","134.019",""
"2009","Croatia","Higher education sector","Million euro","122.985",""
"2009","Croatia","Higher education sector","Euro per inhabitant","28.5",""
"2009","Croatia","Higher education sector","Million units of national currency","902.711",""
"2009","Croatia","Higher education sector","Million purchasing power standards (PPS)","178.702",""
"2009","Croatia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","159.434",""
"2009","Croatia","Private non-profit sector","Million euro","0.451",""
"2009","Croatia","Private non-profit sector","Euro per inhabitant","0.1",""
"2009","Croatia","Private non-profit sector","Million units of national currency","3.311",""
"2009","Croatia","Private non-profit sector","Million purchasing power standards (PPS)","0.655",""
"2009","Croatia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","0.585",""
"2009","Italy","All sectors","Million euro","19,209",""
"2009","Italy","All sectors","Euro per inhabitant","325.6",""
"2009","Italy","All sectors","Million units of national currency","19,209",""
"2009","Italy","All sectors","Million purchasing power standards (PPS)","18,943.787",""
"2009","Italy","All sectors","Million purchasing power standards (PPS) at 2005 prices","17,521.232",""
"2009","Italy","Business enterprise sector","Million euro","10,238.1",""
"2009","Italy","Business enterprise sector","Euro per inhabitant","173.5",""
"2009","Italy","Business enterprise sector","Million units of national currency","10,238.1",""
"2009","Italy","Business enterprise sector","Million purchasing power standards (PPS)","10,096.746",""
"2009","Italy","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","9,338.546",""
"2009","Italy","Government sector","Million euro","2,524.6",""
"2009","Italy","Government sector","Euro per inhabitant","42.8",""
"2009","Italy","Government sector","Million units of national currency","2,524.6",""
"2009","Italy","Government sector","Million purchasing power standards (PPS)","2,489.744",""
"2009","Italy","Government sector","Million purchasing power standards (PPS) at 2005 prices","2,302.78",""
"2009","Italy","Higher education sector","Million euro","5,812",""
"2009","Italy","Higher education sector","Euro per inhabitant","98.5",""
"2009","Italy","Higher education sector","Million units of national currency","5,812",""
"2009","Italy","Higher education sector","Million purchasing power standards (PPS)","5,731.755",""
"2009","Italy","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","5,301.338",""
"2009","Italy","Private non-profit sector","Million euro","634.3",""
"2009","Italy","Private non-profit sector","Euro per inhabitant","10.8",""
"2009","Italy","Private non-profit sector","Million units of national currency","634.3",""
"2009","Italy","Private non-profit sector","Million purchasing power standards (PPS)","625.542",""
"2009","Italy","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","578.568",""
"2009","Cyprus","All sectors","Million euro","82.988",""
"2009","Cyprus","All sectors","Euro per inhabitant","104.1",""
"2009","Cyprus","All sectors","Million units of national currency","82.988",""
"2009","Cyprus","All sectors","Million purchasing power standards (PPS)","92.548",""
"2009","Cyprus","All sectors","Million purchasing power standards (PPS) at 2005 prices","86.556",""
"2009","Cyprus","Business enterprise sector","Million euro","16.434",""
"2009","Cyprus","Business enterprise sector","Euro per inhabitant","20.6",""
"2009","Cyprus","Business enterprise sector","Million units of national currency","16.434",""
"2009","Cyprus","Business enterprise sector","Million purchasing power standards (PPS)","18.327",""
"2009","Cyprus","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","17.141",""
"2009","Cyprus","Government sector","Million euro","16.942",""
"2009","Cyprus","Government sector","Euro per inhabitant","21.3",""
"2009","Cyprus","Government sector","Million units of national currency","16.942",""
"2009","Cyprus","Government sector","Million purchasing power standards (PPS)","18.894",""
"2009","Cyprus","Government sector","Million purchasing power standards (PPS) at 2005 prices","17.67",""
"2009","Cyprus","Higher education sector","Million euro","38.278",""
"2009","Cyprus","Higher education sector","Euro per inhabitant","48",""
"2009","Cyprus","Higher education sector","Million units of national currency","38.278",""
"2009","Cyprus","Higher education sector","Million purchasing power standards (PPS)","42.688",""
"2009","Cyprus","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","39.924",""
"2009","Cyprus","Private non-profit sector","Million euro","11.334",""
"2009","Cyprus","Private non-profit sector","Euro per inhabitant","14.2",""
"2009","Cyprus","Private non-profit sector","Million units of national currency","11.334",""
"2009","Cyprus","Private non-profit sector","Million purchasing power standards (PPS)","12.64",""
"2009","Cyprus","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","11.821",""
"2009","Latvia","All sectors","Million euro","84.882",""
"2009","Latvia","All sectors","Euro per inhabitant","39.2",""
"2009","Latvia","All sectors","Million units of national currency","85.23",""
"2009","Latvia","All sectors","Million purchasing power standards (PPS)","124.405",""
"2009","Latvia","All sectors","Million purchasing power standards (PPS) at 2005 prices","121.248",""
"2009","Latvia","Business enterprise sector","Million euro","30.892",""
"2009","Latvia","Business enterprise sector","Euro per inhabitant","14.3",""
"2009","Latvia","Business enterprise sector","Million units of national currency","31.019",""
"2009","Latvia","Business enterprise sector","Million purchasing power standards (PPS)","45.276",""
"2009","Latvia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","44.127",""
"2009","Latvia","Government sector","Million euro","20.973",""
